NR Palety;Item Desc;EAN;ASIN;LPN;Unit Retail;WARTOŚĆ;;SUMA;Odbiorca:;Restock;18,00%;;;DEPARTMENT;GL DESCRIPTION;CategoryCode;CATEGORY;SubcatCode;SUBCATEGORY
90029521188;Carrera RC Nerf Blasting Car I 2,4GHz I Original Lizenz I Fahren und Feuern mit originalen Nerf Soft Darts I Inklusive Zielscheibe I Drift Action mit Hartplastik Drift Reifen I LED Licht;9,00315E+12;B0CVRQY7YR;LPNHE917722166;47,49;47,49;;;;;;;;Toy;gl_toy;2100400;Vehicles;2100406;Remote Control Vehicles
16742257;Dragon Ball Super Bandai Action figure Dragon Star da 17 cm. Super Saiyan Goku. 36192;3,29658E+12;B07Z47DLRX;LPNA054246385;46,98;46,98;;;;;;;;Toy;gl_toy;2100800;Action Figures & Accessories;2100813;
90029481807;Monster Jam Megalodon Storm, RC Truck, Amphibienfahrzeug in Hai-Optik fĂĽr Land und Wasser, MaĂźstab 1:15 - kinderleichte Bedienung, ab 4 Jahren;7,78988E+11;B0848KXPZ2;LPNHE931591684;45,99;45,99;;;;;;;;Toy;gl_toy;2100400;Vehicles;2100475;Vehicles - Licensed
16742813;Small Foot Notarzt Rucksack mit viel ZubehĂ¶r, Arzt-Spielzeug fĂĽr aktives Rollenspiel, fĂĽr Kinder ab 3 Jahren, Art. 11917 Toys, Multicolor;4,02097E+12;B08WP9478L;LPNHE791578153;45,49;45,49;;;;;;;;Toy;gl_toy;2100600;Infants/Preschool;2100625;Ps Role Playing
90029521188;Teenage Mutant Ninja Turtles 83468CO Mutant Mayhem Pizza-Feuerwehrwagen Jungen von 4 bis 7 Jahren und TMNT-Fans;43377834687;B0BKH8ZRRS;LPNHE945362164;45;45;;;;;;;;Toy;gl_toy;2100800;Action Figures & Accessories;2100801;Action Figures
90029481807;Lexibook Paw Patrol, PĂ¤dagogische und zweisprachige Laptop in Englisch/Deutsch, Spielzeug fĂĽr Kinder mit 124 AktivitĂ¤ten zu Lernen, Spielen Spiele und Musik, Rosa, JC598PAGi3;3,38074E+12;B0CV7VSXGB;LPNHK396565077;44,99;44,99;;;;;;;;Toy;gl_toy;2101800;Learning & Exploration;2101804;Musical Instruments
90029481807;Lexibook Paw Patrol, PĂ¤dagogische und zweisprachige Laptop in Englisch/Deutsch, Spielzeug fĂĽr Kinder mit 124 AktivitĂ¤ten zu Lernen, Spielen Spiele und Musik, Rosa, JC598PAGi3;3,38074E+12;B0CV7VSXGB;LPNHE941189670;44,99;44,99;;;;;;;;Toy;gl_toy;2101800;Learning & Exploration;2101804;Musical Instruments
90029481807;Lexibook Paw Patrol, PĂ¤dagogische und zweisprachige Laptop in Englisch/Deutsch, Spielzeug fĂĽr Kinder mit 124 AktivitĂ¤ten zu Lernen, Spielen Spiele und Musik, Rosa, JC598PAGi3;3,38074E+12;B0CV7VSXGB;LPNRP006957980;44,99;44,99;;;;;;;;Toy;gl_toy;2101800;Learning & Exploration;2101804;Musical Instruments
90029521188;Lexibook, Disney Stitch, Ordinateur Ă©ducatif bilingue FRANĂ‡AIS/Anglais, Jouet pour Enfants avec 124 activitĂ©s pour Apprendre, s'amuser et Jouer du Piano, Bleu/Violet, JC598Di1;3,38074E+12;B0CF4B8T1C;LPNHE941249522;44,99;44,99;;;;;;;;Toy;gl_toy;2101800;Learning & Exploration;2101804;Musical Instruments
90029481807;Shipmate Sweetie Costume (S);5,02057E+12;B003CJ10S2;LPNHE923317446;44,91;44,91;;;;;;;;Toy;gl_toy;2101300;;2101331;
90029521188;Collezione premium Charizard-ex del GCC PokĂ©mon (una carta promozionale olografica impressa in modo speciale, due carte olografiche e sei buste di espansione del GCC PokĂ©mon), edizione in italiano;8,20651E+11;B0CDXDB13S;LPNHE910447749;44,9;44,9;;;;;;;;Toy;gl_toy;2100300;Games & Puzzles;2100302;Travel Games
16742813;Dragon Ball Super Bandai Action figure Dragon Star da 17 cm - Mystic Gohan - 35992;3,29658E+12;B07C7ZWYRP;LPNA054261916;44,4;44,4;;;;;;;;Toy;gl_toy;2100800;Action Figures & Accessories;2100813;
